family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L5X3-1/2X1/4X3/8SLBB,1402,15th,4,modern
2L,2L5X3-1/2X3/4SLBB,1386,15th,5,modern
2L,2L5X3-1/2X3/4X3/4SLBB,1388,15th,5,modern
2L,2L5X3-1/2X3/4X3/8SLBB,1387,15th,5,modern
2L,2L5X3-1/2X3/8SLBB,1395,15th,5,modern
2L,2L5X3-1/2X3/8X3/4SLBB,1397,15th,5,modern
2L,2L5X3-1/2X3/8X3/8SLBB,1396,15th,5,modern
2L,2L5X3-1/2X5/16SLBB,1398,15th,5,modern
2L,2L5X3-1/2X5/16X3/4SLBB,1400,15th,5,modern
2L,2L5X3-1/2X5/16X3/8SLBB,1399,15th,5,modern
2L,2L5X3-1/2X5/8SLBB,1389,15th,4,modern
2L,2L5X3-1/2X5/8X3/4SLBB,1391,15th,4,modern
2L,2L5X3-1/2X5/8X3/8SLBB,1390,15th,4,modern
2L,2L5X3.5X0.25,13626,ASD7,1,modern
2L,2L5X3.5X0.3125,11267,LRFD1,4,modern
2L,2L5X3.5X0.375,11266,LRFD1,4,modern
2L,2L5X3.5X0.4375,13623,ASD7,1,modern
2L,2L5X3.5X0.5,11265,LRFD1,4,modern
2L,2L5X3.5X0.625,13621,ASD7,1,modern
2L,2L5X3.5X0.75,11264,LRFD1,4,modern
2L,2L5X3X0.25,11272,LRFD1,4,modern
2L,2L5X3X0.3125,11271,LRFD1,4,modern
2L,2L5X3X0.375,11270,LRFD1,4,modern
2L,2L5X3X0.4375,13628,ASD7,1,modern
2L,2L5X3X0.5,11269,LRFD1,4,modern
2L,2L5X3X1/2SLBB,1404,15th,5,modern
2L,2L5X3X1/2X3/4SLBB,1406,15th,5,modern
2L,2L5X3X1/2X3/8SLBB,1405,15th,5,modern
2L,2L5X3X1/4SLBB,1416,15th,5,modern
2L,2L5X3X1/4X3/4SLBB,1418,15th,5,modern
2L,2L5X3X1/4X3/8SLBB,1417,15th,5,modern
2L,2L5X3X3/8SLBB,1410,15th,5,modern
2L,2L5X3X3/8X3/4SLBB,1412,15th,5,modern
2L,2L5X3X3/8X3/8SLBB,1411,15th,5,modern
2L,2L5X3X5/16SLBB,1413,15th,5,modern
2L,2L5X3X5/16X3/4SLBB,1415,15th,5,modern
2L,2L5X3X5/16X3/8SLBB,1414,15th,5,modern
2L,2L5X3X7/16SLBB,1407,15th,4,modern
2L,2L5X3X7/16X3/4SLBB,1409,15th,4,modern
2L,2L5X3X7/16X3/8SLBB,1408,15th,4,modern
2L,2L5X5X0.3125,11214,LRFD1,4,modern
2L,2L5X5X0.375,11213,LRFD1,4,modern
2L,2L5X5X0.4375,13804,ASD7,1,modern
2L,2L5X5X0.5,11212,LRFD1,4,modern
2L,2L5X5X0.625,13802,ASD7,1,modern
